alpha,Edge_0_initial,Edge_0_final,Edge_0_usage,Edge_1_initial,Edge_1_final,Edge_1_usage,Edge_2_initial,Edge_2_final,Edge_2_usage,Edge_3_initial,Edge_3_final,Edge_3_usage,Edge_4_initial,Edge_4_final,Edge_4_usage,Edge_5_initial,Edge_5_final,Edge_5_usage,Edge_6_initial,Edge_6_final,Edge_6_usage,Edge_7_initial,Edge_7_final,Edge_7_usage,Edge_8_initial,Edge_8_final,Edge_8_usage,Edge_9_initial,Edge_9_final,Edge_9_usage,Edge_10_initial,Edge_10_final,Edge_10_usage,Edge_11_initial,Edge_11_final,Edge_11_usage,Edge_12_initial,Edge_12_final,Edge_12_usage,Edge_13_initial,Edge_13_final,Edge_13_usage,Edge_14_initial,Edge_14_final,Edge_14_usage
1.0,79147,39364,50,79147,46598,41,79147,2654,97,79147,31140,61,79147,44549,44,79147,54785,31,79147,47699,40,79147,54464,31,79147,53337,33,79147,63733,19,79147,8162,90,79147,30745,61,79147,2247,97,79147,31170,61,79147,5562,93
1.0,79147,22812,71,79147,45805,42,79147,14290,82,79147,43434,45,79147,43447,45,79147,59802,24,79147,62841,21,79147,58720,26,79147,58674,26,79147,69345,12,79147,6937,91,79147,36734,54,79147,8280,90,79147,39037,51,79147,10211,87
1.0,72801,17655,76,72801,34876,52,72801,23046,68,72801,56717,22,72801,48340,34,72801,63281,13,72801,48302,34,72801,60111,17,72801,45472,38,72801,67355,7,72801,9823,87,72801,25819,65,72801,5451,93,72801,47031,35,72801,5970,92
1.0,79147,17038,78,79147,43479,45,79147,8371,89,79147,60700,23,79147,42081,47,79147,53285,33,79147,44972,43,79147,67757,14,79147,52134,34,79147,46772,41,79147,4830,94,79147,28984,63,79147,3552,96,79147,49310,38,79147,7726,90
1.0,79147,24077,70,79147,40064,49,79147,13445,83,79147,31283,60,79147,52310,34,79147,67161,15,79147,22382,72,79147,63090,20,79147,53576,32,79147,65743,17,79147,10464,87,79147,38108,52,79147,7009,91,79147,40695,49,79147,3643,95
1.0,79147,18103,77,79147,39545,50,79147,17605,78,79147,64010,19,79147,42352,46,79147,66704,16,79147,49812,37,79147,64261,19,79147,67649,15,79147,69300,12,79147,5526,93,79147,24159,69,79147,3065,96,79147,56114,29,79147,11958,85
1.0,79147,24304,69,79147,40259,49,79147,5277,93,79147,70698,11,79147,46496,41,79147,73166,8,79147,35270,55,79147,76664,3,79147,69179,13,79147,73004,8,79147,8901,89,79147,37231,53,79147,6130,92,79147,68215,14,79147,31265,60
1.0,79147,10486,87,79147,46193,42,79147,31495,60,79147,67874,14,79147,59349,25,79147,58447,26,79147,47581,40,79147,63626,20,79147,64455,19,79147,71550,10,79147,2988,96,79147,26129,67,79147,9529,88,79147,56339,29,79147,9642,88
1.0,79147,31289,60,79147,32831,59,79147,14571,82,79147,72729,8,79147,51161,35,79147,53833,32,79147,53675,32,79147,75184,5,79147,58875,26,79147,39493,50,79147,24269,69,79147,23688,70,79147,9382,88,79147,68766,13,79147,21282,73
1.0,79147,22795,71,79147,43537,45,79147,9426,88,79147,64720,18,79147,27105,66,79147,64757,18,79147,60227,24,79147,72501,8,79147,53394,33,79147,64111,19,79147,7338,91,79147,40785,48,79147,7755,90,79147,58074,27,79147,29090,63
