alpha,Edge_0_initial,Edge_0_final,Edge_0_usage,Edge_1_initial,Edge_1_final,Edge_1_usage,Edge_2_initial,Edge_2_final,Edge_2_usage,Edge_3_initial,Edge_3_final,Edge_3_usage,Edge_4_initial,Edge_4_final,Edge_4_usage,Edge_5_initial,Edge_5_final,Edge_5_usage,Edge_6_initial,Edge_6_final,Edge_6_usage,Edge_7_initial,Edge_7_final,Edge_7_usage,Edge_8_initial,Edge_8_final,Edge_8_usage,Edge_9_initial,Edge_9_final,Edge_9_usage,Edge_10_initial,Edge_10_final,Edge_10_usage,Edge_11_initial,Edge_11_final,Edge_11_usage,Edge_12_initial,Edge_12_final,Edge_12_usage,Edge_13_initial,Edge_13_final,Edge_13_usage,Edge_14_initial,Edge_14_final,Edge_14_usage
1.0,79147,12432,84,79147,-4586,106,79147,2076,97,79147,-7442,109,79147,-12230,115,79147,-5430,107,79147,-24015,130,79147,-6836,109,79147,-19946,125,79147,4691,94,79147,-141786,279,79147,-119212,251,79147,-75878,196,79147,-77536,198,79147,-191659,342
1.0,79147,-16006,120,79147,2666,97,79147,-15298,119,79147,-9186,112,79147,-8871,111,79147,-12499,116,79147,-3948,105,79147,-7914,110,79147,8087,90,79147,-15216,119,79147,-120093,252,79147,-131786,267,79147,-76891,197,79147,-74231,194,79147,-209577,365
1.0,79147,-7027,109,79147,-4411,106,79147,-13323,117,79147,-5056,106,79147,-10851,114,79147,8838,89,79147,861,99,79147,1736,98,79147,-8030,110,79147,-10784,114,79147,-157481,299,79147,-133003,268,79147,-85277,208,79147,-78479,199,79147,-214966,372
1.0,79147,-12758,116,79147,-665,101,79147,4229,95,79147,-3881,105,79147,-14884,119,79147,9195,88,79147,-4878,106,79147,-11330,114,79147,-13124,117,79147,-14875,119,79147,-134569,270,79147,-118060,249,79147,-65549,183,79147,-86050,209,79147,-167550,312
1.0,79147,-10930,114,79147,-2129,103,79147,-16864,121,79147,9159,88,79147,-16485,121,79147,-2431,103,79147,-19948,125,79147,-6007,108,79147,-12594,116,79147,-1427,102,79147,-181183,329,79147,-114714,245,79147,-101900,229,79147,-66617,184,79147,-210719,366
1.0,79147,2514,97,79147,-7274,109,79147,-7826,110,79147,-20743,126,79147,8802,89,79147,-12308,116,79147,-11393,114,79147,-2337,103,79147,2103,97,79147,1994,97,79147,-113778,244,79147,-122777,255,79147,-86464,209,79147,-94312,219,79147,-190769,341
1.0,79147,-17519,122,79147,-12924,116,79147,-18982,124,79147,-7074,109,79147,-7820,110,79147,-31041,139,79147,-14238,118,79147,-6781,109,79147,-3490,104,79147,1408,98,79147,-159902,302,79147,-109388,238,79147,-90148,214,79147,-58306,174,79147,-210446,366
1.0,79147,-412,101,79147,-14192,118,79147,-13567,117,79147,1765,98,79147,-2328,103,79147,4492,94,79147,-20564,126,79147,-4623,106,79147,-11711,115,79147,-4981,106,79147,-140432,277,79147,-113775,244,79147,-74549,194,79147,-79002,200,79147,-216066,373
1.0,62295,-16763,127,62295,-15507,125,62295,-3140,105,62295,-6096,110,62295,3138,95,62295,-10268,116,62295,5360,91,62295,-20233,132,62295,2089,97,62295,-12075,119,62295,-124491,300,62295,-117431,289,62295,-44794,172,62295,-75620,221,62295,-182087,392
1.0,66487,-15346,123,66487,-16545,125,66487,-12167,118,66487,-5865,109,66487,-12418,119,66487,5309,92,66487,-13499,120,66487,-8929,113,66487,12341,81,66487,1587,98,66487,-99984,250,66487,-98021,247,66487,-76151,215,66487,-72508,209,66487,-179654,370
1.0,64545,3507,95,64545,-8950,114,64545,-1667,103,64545,-5521,109,64545,-1822,103,64545,75,100,64545,1482,98,64545,8136,87,64545,-4653,107,64545,7519,88,64545,-103815,261,64545,-102316,259,64545,-58810,191,64545,-37733,158,64545,-158054,345
1.0,79147,1786,98,79147,-5389,107,79147,-12016,115,79147,-11373,114,79147,-13866,118,79147,-20466,126,79147,-18749,124,79147,-13892,118,79147,-4619,106,79147,-1206,102,79147,-142033,279,79147,-141483,279,79147,-95364,220,79147,-97422,223,79147,-239945,403
1.0,79147,-2328,103,79147,7258,91,79147,-954,101,79147,-7057,109,79147,-2264,103,79147,-6991,109,79147,-7964,110,79147,-7154,109,79147,-5358,107,79147,1223,98,79147,-132377,267,79147,-144043,282,79147,-68490,187,79147,-73078,192,79147,-231489,392
